Distance(m),FWHM_H(um),FWHM_V(um),STD_H(um),STD_V(um)
0.0,69.2073595539778,10.3883408341608,30.30468520731692,4.594663548554224
3.0073333333333334,81.88473752382956,33.524379299403975,35.62514250979672,14.71850604555101
6.014666666666667,108.75172803600347,64.1089090705815,48.160185051269224,28.338635999172507
9.022,147.03910938661073,97.32868690616806,63.78974746385254,42.19529053539548
12.029333333333334,187.02339074574166,130.1133217999082,80.73621337932617,56.11352046905845
15.036666666666667,225.50928443110521,159.50424926253316,98.32098571598287,70.05663564922749
18.044,271.2484354670231,195.68259158739625,116.25477248480318,84.01224672949742
21.051333333333332,305.6012580058783,218.94775871108652,134.3979309023193,97.97501408818195
24.058666666666667,354.1680925450118,255.80911426290498,152.67583747324358,111.94225990935288
27.066,395.6279210840133,294.036496268614,171.04530007424455,125.91249383853433
27.066,396.9977683373864,287.3130923575272,124.83398566252727,110.35276481071162
29.007555555555555,420.9636082085855,305.7856114096623,133.52555749002985,118.25925888199885
30.949111111111108,446.0745189979018,327.10432819872847,142.24718367062013,126.1665544672926
32.89066666666667,469.1397960613692,348.4230449878064,150.9936563369191,134.0745097542941
34.83222222222222,508.3134927100696,373.18346729456397,159.76089470933982,141.98301451384097
36.77377777777778,532.4525382784582,391.169676740457,168.545658310247,149.89198177320273
38.715333333333334,559.199577646126,416.36413409987944,177.34534283343595,157.80134199123916
40.656888888888886,584.923800150881,430.0722107565412,186.15783235403222,165.71103890040393
42.59844444444444,614.2788333178651,451.3742072851344,194.98139065398945,173.62102648453507
44.54,628.3944628307711,468.3429999839036,203.81458016673864,181.5312667462919
44.54,639.4178330596022,479.32017872067735,203.816169055394,181.54356721633422
44.98444444444444,600.7907242644945,431.88137850090453,192.56800577711988,171.50544019326733
45.428888888888885,571.4782003417047,402.5217641499242,181.3203748336627,161.4677200620665
45.873333333333335,537.5083839827558,377.3148553614414,170.073381841328,151.43048773644657
46.31777777777778,503.5385676238001,314.5041852884679,158.8271623254521,141.39384710112057
46.76222222222222,465.95668394742233,285.6416835010032,147.58189311039487,131.35793378366142
47.20666666666666,432.24817386815084,263.6162292198095,136.33780934144298,121.32292827685646
47.651111111111106,389.29986236967943,193.27261995089268,125.095230677602,111.28907615453767
48.095555555555556,356.4587075777151,265.91799946287205,113.854602984791,101.25672029495352
48.54,323.6175527857508,158.03189310097892,102.6165673936205,91.22635434100813
48.54,323.6175527857508,158.03189310097892,102.6165673936205,91.22635434100813
48.99,288.0613924195307,140.19127513320876,91.2416771577767,81.07339179961403
49.44,250.99244732412453,125.74928653114927,79.87198038611515,70.92442718354447
49.89,213.2024239096821,107.41309584205618,68.51006279633303,60.78146318255023
50.339999999999996,176.99581331556652,119.17045419112095,57.160563426514095,50.64810503648823
50.79,141.1237329493122,76.50537631278252,45.83270853263101,40.53155811019614
51.24,105.39290876532225,83.82254372615023,34.54779565991427,30.4485836086163
51.69,69.26290769260082,57.41860614486704,23.36812041655882,20.44890379896233
52.14,33.886394012445294,31.246927740559933,12.577510563220054,10.767147777622574
52.589999999999996,12.335663325717741,11.133829547466869,5.470314931934832,4.520802785870848
52.589999999999996,12.335663325717741,11.133829547466869,5.470314931934832,4.520802785870848
52.75666666666666,16.32965521685702,10.929103882174987,6.949670679572661,6.126379755758229
52.92333333333333,27.362853579086387,13.49309344826539,10.113492365117597,9.109651553069076
53.089999999999996,39.77358562151775,15.974942075599252,13.852030943110442,12.521873875281061
53.25666666666666,53.96226595604676,21.578756550691487,17.806909413014484,16.092459436086884
53.42333333333333,68.01200669833256,27.33244183656465,21.861027254055003,19.735641045562726
53.589999999999996,81.36066236723057,31.652356647116424,25.96794621310251,23.41756083967845
53.75666666666666,94.36243905336427,36.721693779703614,30.106065445611637,27.122447074412843
53.92333333333333,109.78010516997934,41.97102736272913,34.26408251900428,30.842024355611827
54.089999999999996,119.95541356140929,47.40035739619428,38.43554023670847,34.57155114864711
54.089999999999996,119.95541356140929,47.40035739619428,38.43554023670847,34.57155114864711
54.13777777777777,121.02463101005624,47.760913185204366,39.633240642359254,35.642078240754586
54.18555555555555,125.78925703916113,50.031905501621935,40.83164490854122,36.71312789885993
54.23333333333333,133.54475692758825,51.34767955433611,42.0306928286195,37.78465568478098
54.28111111111111,135.5816900061453,52.6634536070496,43.2303308449618,38.85662204333109
54.32888888888888,140.60949694402277,53.97922765976446,44.43051115923004,39.928991651687674
54.376666666666665,144.69151999438589,56.37921743233045,45.631190981286004,41.0017328697731
54.42444444444444,148.87475828360303,57.72079097627361,46.832331892243545,42.07481727386761
54.47222222222222,152.04891196327085,59.06236452021677,48.03389930199742,43.148219259152434
54.519999999999996,155.22306564294252,60.403938064160634,49.23586198532658,44.22191569961511
54.519999999999996,155.22306564294252,60.403938064160634,49.23586198532658,44.22191569961511
54.62777777777777,165.8383310339279,63.43027838421949,51.948574776483014,46.64495048920662
54.73555555555555,171.98016936790893,66.45661870427976,54.66288102026335,49.06917379085315
54.84333333333333,183.09263410534933,69.4829590243372,57.378554581141096,51.49441774865602
54.95111111111111,190.5971232616428,72.50929934439607,60.09541009481848,53.920544641249585
55.05888888888889,199.45847277696322,75.53563966445492,62.81329419291533,56.34744042034754
55.166666666666664,205.60610157423366,78.56298138613198,65.53207889671252,58.77500984108791
55.27444444444444,217.4895754715694,83.16514687815315,68.25165658020381,61.20317274533311
55.38222222222222,223.63720426883583,96.02137099053127,70.97193608474481,63.63186119193692
55.489999999999995,231.2444946464484,99.46267281481659,73.69283968982351,66.06101721730077
55.489999999999995,231.24450654961802,99.46267424774935,73.69284094973979,66.06101757191368
55.57888888888888,206.13950587582295,89.6950996377233,65.49000860782688,58.69940814980602
55.66777777777777,181.05377687911928,78.24171698959654,57.28772435884686,51.3382097497988
55.75666666666666,153.57057536982546,67.90147324716426,49.086262961541266,43.977628769263596
55.84555555555555,127.10876983378984,57.18163606638436,40.88611959328402,36.61803753201397
55.93444444444444,102.22229193751879,46.084635672856,32.68828618657536,29.26018287538217
56.023333333333326,75.67544694696564,34.611085897078006,24.495082093901374,21.905814748181182
56.112222222222215,51.327251402586676,20.593156610753553,16.313483818941474,14.560217249013002
56.2011111111111,25.562543923701423,16.917601364508645,8.178396932599167,7.250098038735719
56.28999999999999,3.403850652757626,3.0739844658050326,1.5094081673999176,1.2476800391539877
