,,CPMU18,,,CPMU20.5,,,,Beamsize,,,,
E (keV),θ (°),n,K,p (W/mm^2),n,K,p (W/mm^2),ptot (W/mm^2),H (mm),V (mm),A (mm^2),p_p (W/mm^2),P (W)
15,7.58,1,0.73,122.7,3,2.16,186.5,309.2,0.7,0.7,0.49,40.8,151.5
15,7.58,1,0.73,122.7,3,2.16,186.5,309.2,0.8,0.8,0.64,40.8,197.9
15,7.58,1,0.73,122.7,3,2.16,186.5,309.2,1,1,1.00,40.8,309.2
15,7.58,1,0.73,122.7,3,2.16,186.5,309.2,2,1,2.00,40.8,618.4
18,6.31,1,0.33,39.5,3,1.89,198.1,237.6,0.7,0.7,0.49,26.1,116.4
18,6.31,1,0.33,39.5,3,1.89,198.1,237.6,0.8,0.8,0.64,26.1,152.1
18,6.31,1,0.33,39.5,3,1.89,198.1,237.6,1,1,1.00,26.1,237.6
24,4.73,3,1.66,263.5,5,2.22,182.4,445.9,0.7,0.7,0.49,36.7,218.5
24,4.73,3,1.66,263.5,5,2.22,182.4,445.9,0.8,0.8,0.64,36.7,285.4
24,4.73,3,1.66,263.5,5,2.22,182.4,445.9,1,1,1.00,36.7,445.9
31.3,3.62,3,1.28,221.9,7,2.33,173.8,395.7,0.7,0.7,0.49,25.0,193.9
40.3,2.81,5,1.65,263,9,2.33,173.8,436.8,0.7,0.7,0.49,21.4,214.0
